subject,mean_radius,mean_curvature,length,snr_t1,snr_fa,contrast,pv,imbalance,difficulty_score,difficulty_tier
102816,1.0500519,0.4198846,73.06475,3.398225,1.3217461,0.0914903,0.88241524,0.00025803983,2.6446698,medium
113316,1.0430863,0.51768595,73.12217,3.4214818,1.4603677,0.0722259,0.89801323,0.0002063772,2.798477,hard
113821,1.0397116,0.447642,65.953766,3.2406614,1.5436003,0.07292196,0.9084507,0.00019407657,2.7305412,medium
115320,1.0507491,0.45288116,62.190567,3.5033443,1.3582374,0.085116595,0.88188076,0.00023835883,2.5699615,medium
117122,1.0325329,0.49544486,79.35388,3.1949337,1.5693657,0.06986989,0.9214586,0.00019489661,3.0055573,hard
118528,1.0553076,0.45077232,70.23633,3.539921,1.502252,0.10383323,0.8707865,0.00024327908,2.021343,easy
119025,1.0365,0.5046004,78.00401,4.1930604,1.5198885,0.07209988,0.9129252,0.00020091025,2.61256,medium
119732,1.0504951,0.5000087,71.06815,3.5366871,1.247728,0.08274691,0.88073397,0.00023835883,2.8065634,hard
120111,1.0511026,0.5203581,82.67852,3.496098,1.4195166,0.09276663,0.8794588,0.00022223133,2.3348384,easy
120515,1.0606717,0.40871924,68.18644,3.242845,1.1718853,0.0907466,0.856982,0.00024273238,2.5733736,medium
121921,1.0442421,0.47348237,67.57947,3.7576246,1.3852297,0.06744444,0.89522547,0.00020610384,2.8056471,hard
122620,1.0483985,0.47549695,78.11464,4.146503,1.2987244,0.07840693,0.8876014,0.0002358987,2.6524022,medium
126325,1.0457776,0.4829688,79.75031,3.4522383,1.3582175,0.09102088,0.8914432,0.00021403092,2.5047271,easy
128026,1.0524828,0.40341547,60.29034,3.400887,1.4379863,0.083373964,0.8741573,0.00024327908,2.4152408,easy
130821,1.034868,0.462391,98.72088,4.0844083,1.2658694,0.066247895,0.91792065,0.00019981686,3.1269972,hard
131419,1.0605787,0.45134053,63.314922,3.2055926,1.2076024,0.09352568,0.86070216,0.00024136565,2.5711741,medium
132017,1.038192,0.53802437,65.77562,3.73137,1.3583388,0.07815617,0.9106918,0.00021731108,2.9264073,hard
